date	island	site	point	time	spp	numind	dist	occasion
6/14/11	Saipan	ladt	Ltc	710	Rhru	1	15	1
6/14/11	Saipan	ladt	Ltc	710	Mela	1	30	1
6/14/11	Saipan	ladt	Ltb	724	Zoco	3	15	1
6/14/11	Saipan	ladt	Ltb	724	Clma	3	20	1
6/14/11	Saipan	ladt	Ltb	724	Clma	4	10	1
6/14/11	Saipan	ladt	Ltb	724	Rhru	1	10	1
6/14/11	Saipan	ladt	Ltb	724	Ptro	2	30	1
6/14/11	Saipan	ladt	Ltb	724	Rhru	1	25	1
6/14/11	Saipan	ladt	Ltb	724	Clma	4	15	1
6/14/11	Saipan	ladt	Ltb	724	Rhru	1	15	1
6/14/11	Saipan	ladt	Ltb	724	Apop	2	15	1
6/14/11	Saipan	ladt	Ltb	724	Ptro	1	20	1
6/14/11	Saipan	Forbi	Fa	819	Rhru	1	13	1
6/14/11	Saipan	Forbi	Fa	819	Ptro	1	25	1
6/14/11	Saipan	Forbi	Fa	819	Ptro	1	35	1
6/14/11	Saipan	Forbi	Fa	819	Ptro	1	45	1
6/14/11	Saipan	Forbi	Fa	819	Zoco	1	13	1
6/14/11	Saipan	Forbi	Fa	819	Zoco	1	8	1
6/14/11	Saipan	Forbi	Fa	819	Rhru	1	10	1
6/14/11	Saipan	Forbi	Fc	834	Zoco	1	15	1
6/14/11	Saipan	Forbi	Fc	834	Zoco	2	25	1
6/14/11	Saipan	Forbi	Fc	834	Ptro	1	30	1
6/14/11	Saipan	Forbi	Fc	834	Clma	1	10	1
6/14/11	Saipan	Forbi	Fc	834	Zoco	2	15	1
6/14/11	Saipan	Forbi	Fc	834	Rhru	1	10	1
6/14/11	Saipan	Forbi	Fc	834	Clma	2	25	1
6/14/11	Saipan	Forbi	Fc	834	Rhru	1	30	1
6/14/11	Saipan	Forbi	Fc	834	Ptro	1	40	1
6/14/11	Saipan	Forbi	Fc	834	Apop	2	25	1
6/14/11	Saipan	Forbi	Fc	834	Myru	1	15	1
6/14/11	Saipan	Forbi	Fc	834	Clma	2	20	1
6/14/11	Saipan	Forbi	Fb	847	Rhru	1	12	1
6/14/11	Saipan	Forbi	Fb	847	Rhru	1	22	1
6/14/11	Saipan	Forbi	Fb	847	Ptro	1	30	1
6/14/11	Saipan	Forbi	Fb	847	Clma	1	4	1
6/14/11	Saipan	Forbi	Fb	847	Zoco	6	20	1
6/14/11	Saipan	Forbi	Fb	847	Ptro	1	25	1
6/14/11	Saipan	Forbi	Fb	847	Apop	1	10	1
6/14/11	Saipan	Forbi	Fb	847	Clma	3	25	1
6/14/11	Saipan	Forbi	Fb	847	Rhru	1	5	1
6/14/11	Saipan	Forbi	Fb	847	Myru	1	5	1
6/21/11	Rota	grvpt	Ga	552	Ptro	1	40	1
6/21/11	Rota	grvpt	Ga	552	Ptro	2	30	1
6/21/11	Rota	grvpt	Ga	552	Rhru	1	25	1
6/21/11	Rota	grvpt	Ga	552	Rhru	1	30	1
6/21/11	Rota	grvpt	Ga	552	Gaga	1	30	1
6/21/11	Rota	grvpt	Ga	552	Toch	1	30	1
6/21/11	Rota	grvpt	Ga	552	Apop	1	30	1
6/21/11	Rota	grvpt	Ga	552	Dima	1	17	1
6/21/11	Rota	grvpt	Ga	552	Dima	1	25	1
6/21/11	Rota	grvpt	Gc	609	Ptro	1	22	1
6/21/11	Rota	grvpt	Gc	609	Ptro	1	50	1
6/21/11	Rota	grvpt	Gc	609	Rhru	1	13	1
6/21/11	Rota	grvpt	Gc	609	Ptro	1	30	1
6/21/11	Rota	grvpt	Gc	609	Rhru	1	30	1
6/21/11	Rota	grvpt	Gc	609	Rhru	1	15	1
6/21/11	Rota	grvpt	Gc	609	Toch	1	20	1
6/21/11	Rota	grvpt	Gc	609	Rhru	1	30	1
6/21/11	Rota	grvpt	Gc	609	Apop	1	20	1
6/21/11	Rota	grvpt	Gc	609	Apop	1	40	1
6/21/11	Rota	grvpt	Gb	623	Ptro	1	18	1
6/21/11	Rota	grvpt	Gb	623	Rhru	1	25	1
6/21/11	Rota	grvpt	Gb	623	Toch	3	25	1
6/21/11	Rota	grvpt	Gb	623	Rhru	2	10	1
6/21/11	Rota	grvpt	Gb	623	Dima	1	13	1
6/21/11	Rota	grvpt	Gb	623	Rhru	1	10	1
6/21/11	Rota	grvpt	Gb	623	Rhru	1	6	1
